Wavelength	PowerDens
420	0.627188368
425	1.634776699
430	3.631090554
435	4.259850823
440	5.155834206
445	5.187272219
450	4.149817775
455	7.120710046
460	8.503982638
465	9.902974237
470	8.01669343
475	8.802643766
480	7.073553026
485	6.869205939
490	6.947800973
495	7.073553026
500	7.529404221
505	7.686594289
510	7.765189322
515	6.979238986
520	6.319040704
525	7.545123228
530	8.551139658
535	8.92839582
540	10.2959494
545	10.65748656
550	10.35096593
555	9.855817217
560	8.896957806
565	8.173883497
570	6.539106798
575	5.438776327
580	5.753156461
585	6.523387791
590	5.910346529
595	5.360181293
600	5.863189508
610	4.385602876
620	2.656512137
630	1.387988294
640	2.122065908
650	2.012032861
660	2.310693989
670	1.666214713
680	1.389560195
690	0.540733831
700	0.099029742
705	0.110976187
710	0.014304296
720	0.015247437
730	0.040869417
740	0.143042961
750	0.344246247
760	0.636619772
770	1.081467663
780	1.713371733
790	1.666214713
800	1.19307261
810	1.199360213
820	1.744809746
830	2.530760083
840	3.065206311
850	2.797983197
860	2.483603063
870	2.263536968
880	2.137784915
