Wavelength	PowerDens	Error	Corr_OD		
420	0.692898941	0.013689559	1.034665798		
440	3.709071745	0.007995936	1.005408845		
460	6.357997871	0.110147017	0.957637403		
470	6.608938612	0.13124121	0.939621705		
490	4.19347691	0.054183274	0.975862435		
500	4.398452738	0.033441757	0.998448324		
520	3.182998381	0.019328514	0.995936665		
530	4.818972803	0.036087846	0.958167542		
540	6.021551004	0.094311459	0.944889564		
550	6.088477704	0.119311264	0.936812634		
560	5.203453576	0.036093132	0.949588098		
570	3.483757402	0.023977868	0.970971091		
590	2.936725533	0.05686342	1.0293561		
610	1.670483075	0.01323904	0.977401763		
630	0.386116116	0.005611906	1.062232706		
650	0.946807973	0.011643521	1.01333906		
670	0.596255679	0.010523413	0.982526081		
690	0.13580043	0.008261379	0.972784819		
700	0.018768462	0.001919104	1.03513304		
709	0.013661606	0.001551926	0.732931382		
720	0.0004	0	1		
730	0.008368311	0.00106055	0.911288455		
740	0.03126449	0.003811842	0.779747641		
750	0.14981404	0.010998553	0.795513443		
760	0.205184891	0.014789726	0.74135895		
770	0.334956121	0.029146963	0.773564867		
780	0.357281716	0.038649861	0.736459533		
790	0.345396076	0.037732655	0.809270813		
810	0.180300085	0.022874867	0.864859461		
830	0.391333701	0.023634613	0.776673105		
850	0.490318419	0.026737884	0.917303044		
870	0.94602029	0.033840347	0.944584314		
890	0.72576652	0.050221992	0.684717895		
910	0.681393884	0.043509063	0.898997452		
930	0.534806513	0.029907285	0.89283547		
950	0.835754118	0.029573025	1.047426326		
970	0.963041876	0.020165164	1.004727373		
990	0.77520705	0.027756855	0.990897335		
1010	0.530091569	0.01849454	0.991316419		
1030	0.274332648	0.008685985	0.984359073		
1050	0.08615465	0.003204223	0.985430769		
1070	0.071145249	0.002220687	1.015872591		
1090	0.034832623	0.000649132	1.033479917
